Infinitive,опуши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опуши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опушённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опуши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опуши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опушу́
2nd Sing,опуши́шь
3rd Sing,опуши́т
1st Pl,опуши́м
2nd Pl,опуши́те
3rd Pl,опуша́т
Past M,опуши́л
Past F,опуши́ла
Past N,опуши́ло
Past PL,опуши́ли
Imp S,опуши́
Imp PL,опуши́те
