Infinitive,опе́шить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,опе́шивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опе́шив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,опе́шивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,опе́шу
2nd Sing,опе́шишь
3rd Sing,опе́шит
1st Pl,опе́шим
2nd Pl,опе́шите
3rd Pl,опе́шат
Past M,опе́шил
Past F,опе́шила
Past N,опе́шило
Past PL,опе́шили
Imp S,опе́шь
Imp PL,опе́шьте
