Infinitive,опосты́леть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,опосты́левший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опосты́лев
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,опосты́левши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,опосты́лею
2nd Sing,опосты́леешь
3rd Sing,опосты́леет
1st Pl,опосты́леем
2nd Pl,опосты́леете
3rd Pl,опосты́леют
Past M,опосты́лел
Past F,опосты́лела
Past N,опосты́лело
Past PL,опосты́лели
Imp S,опосты́лей
Imp PL,опосты́лейте
