Infinitive,опо́мниться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,опо́мнившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опо́мнившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,опо́мнюсь
2nd Sing,опо́мнишься
3rd Sing,опо́мнится
1st Pl,опо́мнимся
2nd Pl,опо́мнитесь
3rd Pl,опо́мнятся
Past M,опо́мнился
Past F,опо́мнилась
Past N,опо́мнилось
Past PL,опо́мнились
Imp S,опо́мнись
Imp PL,опо́мнитесь
