Infinitive,опоро́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опоро́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опоро́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опоро́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опоро́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опоро́чу
2nd Sing,опоро́чишь
3rd Sing,опоро́чит
1st Pl,опоро́чим
2nd Pl,опоро́чите
3rd Pl,опоро́чат
Past M,опоро́чил
Past F,опоро́чила
Past N,опоро́чило
Past PL,опоро́чили
Imp S,опоро́чь
Imp PL,опоро́чьте
