Infinitive,определи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,определи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,определи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,определю́сь
2nd Sing,определи́шься
3rd Sing,определи́тся
1st Pl,определи́мся
2nd Pl,определи́тесь
3rd Pl,определя́тся
Past M,определи́лся
Past F,определи́лась
Past N,определи́лось
Past PL,определи́лись
Imp S,определи́сь
Imp PL,определи́тесь
