Infinitive,опрове́ргнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опрове́ргший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,опрове́ргнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опрове́ргнутый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,опрове́ргнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,опрове́ргши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,опрове́ргну
2nd Sing,опрове́ргнешь
3rd Sing,опрове́ргнет
1st Pl,опрове́ргнем
2nd Pl,опрове́ргнете
3rd Pl,опрове́ргнут
Past M,опрове́рг
Past F,опрове́ргла
Past N,опрове́ргло
Past PL,опрове́ргли
Imp S,опрове́ргни
Imp PL,опрове́ргните
