Infinitive,опа́сть
Zaliznyak Class,7b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,опа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,опа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,опаду́
2nd Sing,опадёшь
3rd Sing,опадёт
1st Pl,опадём
2nd Pl,опадёте
3rd Pl,опаду́т
Past M,опа́л
Past F,опа́ла
Past N,опа́ло
Past PL,опа́ли
Imp S,опади́
Imp PL,опади́те
