Infinitive,опьяни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опьяни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опьянённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опьяни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опьяни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опьяню́
2nd Sing,опьяни́шь
3rd Sing,опьяни́т
1st Pl,опьяни́м
2nd Pl,опьяни́те
3rd Pl,опьяня́т
Past M,опьяни́л
Past F,опьяни́ла
Past N,опьяни́ло
Past PL,опьяни́ли
Imp S,опьяни́
Imp PL,опьяни́те
