Infinitive,опубликова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опубликова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опублико́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опубликова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опубликова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опублику́ю
2nd Sing,опублику́ешь
3rd Sing,опублику́ет
1st Pl,опублику́ем
2nd Pl,опублику́ете
3rd Pl,опублику́ют
Past M,опубликова́л
Past F,опубликова́ла
Past N,опубликова́ло
Past PL,опубликова́ли
Imp S,опублику́й
Imp PL,опублику́йте
