Infinitive,опроки́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опроки́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опроки́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опроки́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опроки́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опроки́ну
2nd Sing,опроки́нешь
3rd Sing,опроки́нет
1st Pl,опроки́нем
2nd Pl,опроки́нете
3rd Pl,опроки́нут
Past M,опроки́нул
Past F,опроки́нула
Past N,опроки́нуло
Past PL,опроки́нули
Imp S,опроки́нь
Imp PL,опроки́ньте
