Infinitive,опра́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,опра́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опра́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,опра́влюсь
2nd Sing,опра́вишься
3rd Sing,опра́вится
1st Pl,опра́вимся
2nd Pl,опра́витесь
3rd Pl,опра́вятся
Past M,опра́вился
Past F,опра́вилась
Past N,опра́вилось
Past PL,опра́вились
Imp S,опра́вься
Imp PL,опра́вьтесь
