Infinitive,опроки́дывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опроки́дывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,опроки́дывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опроки́дываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,опроки́дывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,опроки́дывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,опроки́дывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,опроки́дываю
2nd Sing,опроки́дываешь
3rd Sing,опроки́дывает
1st Pl,опроки́дываем
2nd Pl,опроки́дываете
3rd Pl,опроки́дывают
Past M,опроки́дывал
Past F,опроки́дывала
Past N,опроки́дывало
Past PL,опроки́дывали
Imp S,опроки́дывай
Imp PL,опроки́дывайте
