Infinitive,оплати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оплати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опла́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оплати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оплати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оплачу́
2nd Sing,опла́тишь
3rd Sing,опла́тит
1st Pl,опла́тим
2nd Pl,опла́тите
3rd Pl,опла́тят
Past M,оплати́л
Past F,оплати́ла
Past N,оплати́ло
Past PL,оплати́ли
Imp S,оплати́
Imp PL,оплати́те
