Infinitive,опра́шивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опра́шивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,опра́шивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опра́шиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,опра́шивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,опра́шивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,опра́шивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,опра́шиваю
2nd Sing,опра́шиваешь
3rd Sing,опра́шивает
1st Pl,опра́шиваем
2nd Pl,опра́шиваете
3rd Pl,опра́шивают
Past M,опра́шивал
Past F,опра́шивала
Past N,опра́шивало
Past PL,опра́шивали
Imp S,опра́шивай
Imp PL,опра́шивайте
