Infinitive,опоя́сать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опоя́савший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опоя́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опоя́сав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опоя́савши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опоя́шу
2nd Sing,опоя́шешь
3rd Sing,опоя́шет
1st Pl,опоя́шем
2nd Pl,опоя́шете
3rd Pl,опоя́шут
Past M,опоя́сал
Past F,опоя́сала
Past N,опоя́сало
Past PL,опоя́сали
Imp S,опоя́шь
Imp PL,опоя́шьте
