Infinitive,опуска́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,опуска́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,опуска́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опуска́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,опуска́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опуска́юсь
2nd Sing,опуска́ешься
3rd Sing,опуска́ется
1st Pl,опуска́емся
2nd Pl,опуска́етесь
3rd Pl,опуска́ются
Past M,опуска́лся
Past F,опуска́лась
Past N,опуска́лось
Past PL,опуска́лись
Imp S,опуска́йся
Imp PL,опуска́йтесь
