Infinitive,оправда́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оправда́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оправда́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оправда́юсь
2nd Sing,оправда́ешься
3rd Sing,оправда́ется
1st Pl,оправда́емся
2nd Pl,оправда́етесь
3rd Pl,оправда́ются
Past M,оправда́лся
Past F,оправда́лась
Past N,оправда́лось
Past PL,оправда́лись
Imp S,оправда́йся
Imp PL,оправда́йтесь
