Infinitive,опохмели́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,опохмели́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опохмели́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,опохмелю́сь
2nd Sing,опохмели́шься
3rd Sing,опохмели́тся
1st Pl,опохмели́мся
2nd Pl,опохмели́тесь
3rd Pl,опохмеля́тся
Past M,опохмели́лся
Past F,опохмели́лась
Past N,опохмели́лось
Past PL,опохмели́лись
Imp S,опохмели́сь
Imp PL,опохмели́тесь
