Infinitive,опра́вдываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,опра́вдывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,опра́вдывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опра́вдываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,опра́вдывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опра́вдываюсь
2nd Sing,опра́вдываешься
3rd Sing,опра́вдывается
1st Pl,опра́вдываемся
2nd Pl,опра́вдываетесь
3rd Pl,опра́вдываются
Past M,опра́вдывался
Past F,опра́вдывалась
Past N,опра́вдывалось
Past PL,опра́вдывались
Imp S,опра́вдывайся
Imp PL,опра́вдывайтесь
