Infinitive,опроси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опроси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опроси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опроси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опрошу́
2nd Sing,опро́сишь
3rd Sing,опро́сит
1st Pl,опро́сим
2nd Pl,опро́сите
3rd Pl,опро́сят
Past M,опроси́л
Past F,опроси́ла
Past N,опроси́ло
Past PL,опроси́ли
Imp S,опроси́
Imp PL,опроси́те
