Infinitive,рискова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,риску́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рискова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,риску́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,рискова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,рискова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,риску́ю
2nd Sing,риску́ешь
3rd Sing,риску́ет
1st Pl,риску́ем
2nd Pl,риску́ете
3rd Pl,риску́ют
Past M,рискова́л
Past F,рискова́ла
Past N,рискова́ло
Past PL,рискова́ли
Imp S,риску́й
Imp PL,риску́йте
