Infinitive,рискну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,рискну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рискну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,рискну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,рискну́
2nd Sing,рискнёшь
3rd Sing,рискнёт
1st Pl,рискнём
2nd Pl,рискнёте
3rd Pl,рискну́т
Past M,рискну́л
Past F,рискну́ла
Past N,рискну́ло
Past PL,рискну́ли
Imp S,рискни́
Imp PL,рискни́те
