Infinitive,ри́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ри́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ри́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ри́нусь
2nd Sing,ри́нешься
3rd Sing,ри́нется
1st Pl,ри́немся
2nd Pl,ри́нетесь
3rd Pl,ри́нутся
Past M,ри́нулся
Past F,ри́нулась
Past N,ри́нулось
Past PL,ри́нулись
Imp S,ри́нься
Imp PL,ри́ньтесь
