Infinitive,рисова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рису́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рисова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рису́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,рисова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рису́юсь
2nd Sing,рису́ешься
3rd Sing,рису́ется
1st Pl,рису́емся
2nd Pl,рису́етесь
3rd Pl,рису́ются
Past M,рисова́лся
Past F,рисова́лась
Past N,рисова́лось
Past PL,рисова́лись
Imp S,рису́йся
Imp PL,рису́йтесь
