Infinitive,вя́знуть
Zaliznyak Class,3°a[⑤]⑥
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вя́знущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вя́знувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вя́знув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вя́знувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вя́зну
2nd Sing,вя́знешь
3rd Sing,вя́знет
1st Pl,вя́знем
2nd Pl,вя́знете
3rd Pl,вя́знут
Past M,вя́з
Past F,вя́зла
Past N,вя́зло
Past PL,вя́зли
Imp S,вя́зни
Imp PL,вя́зните
