Infinitive,вя́нуть
Zaliznyak Class,3°a[⑤]⑥
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вя́нущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вя́нувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вя́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вя́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вя́ну
2nd Sing,вя́нешь
3rd Sing,вя́нет
1st Pl,вя́нем
2nd Pl,вя́нете
3rd Pl,вя́нут
Past M,вя́л
Past F,вя́ла
Past N,вя́ло
Past PL,вя́ли
Imp S,вя́нь
Imp PL,вя́ньте
