Infinitive,вя́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вя́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вя́кнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вя́кнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вя́кнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вя́кну
2nd Sing,вя́кнешь
3rd Sing,вя́кнет
1st Pl,вя́кнем
2nd Pl,вя́кнете
3rd Pl,вя́кнут
Past M,вя́кнул
Past F,вя́кнула
Past N,вя́кнуло
Past PL,вя́кнули
Imp S,вя́кни
Imp PL,вя́кните
