Infinitive,мы́ть
Zaliznyak Class,12a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,мо́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мы́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мо́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мы́тый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,мо́я
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,мы́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,мы́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,мо́ю
2nd Sing,мо́ешь
3rd Sing,мо́ет
1st Pl,мо́ем
2nd Pl,мо́ете
3rd Pl,мо́ют
Past M,мы́л
Past F,мы́ла
Past N,мы́ло
Past PL,мы́ли
Imp S,мо́й
Imp PL,мо́йте
