Infinitive,благослови́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,благослови́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,благословлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,благослови́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,благослови́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,благословлю́
2nd Sing,благослови́шь
3rd Sing,благослови́т
1st Pl,благослови́м
2nd Pl,благослови́те
3rd Pl,благословя́т
Past M,благослови́л
Past F,благослови́ла
Past N,благослови́ло
Past PL,благослови́ли
Imp S,благослови́
Imp PL,благослови́те
