Infinitive,блева́ть
Zaliznyak Class,2b(-ё-)
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,блюю́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,блева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,блёванный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,блюя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,блева́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,блева́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,блюю́
2nd Sing,блюёшь
3rd Sing,блюёт
1st Pl,блюём
2nd Pl,блюёте
3rd Pl,блюю́т
Past M,блева́л
Past F,блева́ла
Past N,блева́ло
Past PL,блева́ли
Imp S,блю́й
Imp PL,блю́йте
