Infinitive,бледне́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бледне́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бледне́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бледне́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бледне́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бледне́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,бледне́ю
2nd Sing,бледне́ешь
3rd Sing,бледне́ет
1st Pl,бледне́ем
2nd Pl,бледне́ете
3rd Pl,бледне́ют
Past M,бледне́л
Past F,бледне́ла
Past N,бледне́ло
Past PL,бледне́ли
Imp S,бледне́й
Imp PL,бледне́йте
