Infinitive,блаже́нствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,блаже́нствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,блаже́нствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,блаже́нствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,блаже́нствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,блаже́нствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,блаже́нствую
2nd Sing,блаже́нствуешь
3rd Sing,блаже́нствует
1st Pl,блаже́нствуем
2nd Pl,блаже́нствуете
3rd Pl,блаже́нствуют
Past M,блаже́нствовал
Past F,блаже́нствовала
Past N,блаже́нствовало
Past PL,блаже́нствовали
Imp S,блаже́нствуй
Imp PL,блаже́нствуйте
