Infinitive,благода́рствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,благода́рствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,благода́рствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,благода́рствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,благода́рствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,благода́рствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,благода́рствую
2nd Sing,благода́рствуешь
3rd Sing,благода́рствует
1st Pl,благода́рствуем
2nd Pl,благода́рствуете
3rd Pl,благода́рствуют
Past M,благода́рствовал
Past F,благода́рствовала
Past N,благода́рствовало
Past PL,благода́рствовали
Imp S,благода́рствуй
Imp PL,благода́рствуйте
