Infinitive,благоволи́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,благоволя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,благоволи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,благоволя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,благоволи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,благоволи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,благоволю́
2nd Sing,благоволи́шь
3rd Sing,благоволи́т
1st Pl,благоволи́м
2nd Pl,благоволи́те
3rd Pl,благоволя́т
Past M,благоволи́л
Past F,благоволи́ла
Past N,благоволи́ло
Past PL,благоволи́ли
Imp S,благоволи́
Imp PL,благоволи́те
