Infinitive,блиста́ть
Zaliznyak Class,1a // 6c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,блиста́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,бле́щущий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,блиста́вший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,блиста́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,short
PART:4:Participle Text,блеща́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,блиста́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,блиста́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,блиста́ю
2nd Sing,блиста́ешь
3rd Sing,блиста́ет
1st Pl,блиста́ем
2nd Pl,блиста́ете
3rd Pl,блиста́ют
Past M,блиста́л
Past F,блиста́ла
Past N,блиста́ло
Past PL,блиста́ли
Imp S,блиста́й
Imp PL,блиста́йте
