Infinitive,благоуха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,благоуха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,благоуха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,благоуха́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,благоуха́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,благоуха́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,благоуха́ю
2nd Sing,благоуха́ешь
3rd Sing,благоуха́ет
1st Pl,благоуха́ем
2nd Pl,благоуха́ете
3rd Pl,благоуха́ют
Past M,благоуха́л
Past F,благоуха́ла
Past N,благоуха́ло
Past PL,благоуха́ли
Imp S,благоуха́й
Imp PL,благоуха́йте
