Infinitive,блесну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,блесну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,блесну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,блесну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,блесну́
2nd Sing,блеснёшь
3rd Sing,блеснёт
1st Pl,блеснём
2nd Pl,блеснёте
3rd Pl,блесну́т
Past M,блесну́л
Past F,блесну́ла
Past N,блесну́ло
Past PL,блесну́ли
Imp S,блесни́
Imp PL,блесни́те
