Infinitive,блужда́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,блужда́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,блужда́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,блужда́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,блужда́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,блужда́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,блужда́ю
2nd Sing,блужда́ешь
3rd Sing,блужда́ет
1st Pl,блужда́ем
2nd Pl,блужда́ете
3rd Pl,блужда́ют
Past M,блужда́л
Past F,блужда́ла
Past N,блужда́ло
Past PL,блужда́ли
Imp S,блужда́й
Imp PL,блужда́йте
