Infinitive,бли́зиться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,бли́зящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бли́зившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бли́зясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бли́зившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,бли́жусь
2nd Sing,бли́зишься
3rd Sing,бли́зится
1st Pl,бли́зимся
2nd Pl,бли́зитесь
3rd Pl,бли́зятся
Past M,бли́зился
Past F,бли́зилась
Past N,бли́зилось
Past PL,бли́зились
Imp S,бли́зься
Imp PL,бли́зьтесь
