Infinitive,тверде́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,тверде́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тверде́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тверде́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тверде́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,тверде́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,тверде́ю
2nd Sing,тверде́ешь
3rd Sing,тверде́ет
1st Pl,тверде́ем
2nd Pl,тверде́ете
3rd Pl,тверде́ют
Past M,тверде́л
Past F,тверде́ла
Past N,тверде́ло
Past PL,тверде́ли
Imp S,тверде́й
Imp PL,тверде́йте
