Infinitive,ущеми́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ущеми́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ущемлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ущеми́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ущеми́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ущемлю́
2nd Sing,ущеми́шь
3rd Sing,ущеми́т
1st Pl,ущеми́м
2nd Pl,ущеми́те
3rd Pl,ущемя́т
Past M,ущеми́л
Past F,ущеми́ла
Past N,ущеми́ло
Past PL,ущеми́ли
Imp S,ущеми́
Imp PL,ущеми́те
