Infinitive,ущипну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ущипну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ущи́пнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ущипну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ущипну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ущипну́
2nd Sing,ущипнёшь
3rd Sing,ущипнёт
1st Pl,ущипнём
2nd Pl,ущипнёте
3rd Pl,ущипну́т
Past M,ущипну́л
Past F,ущипну́ла
Past N,ущипну́ло
Past PL,ущипну́ли
Imp S,ущипни́
Imp PL,ущипни́те
