Infinitive,уня́ть
Zaliznyak Class,14b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уня́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уйму́
2nd Sing,уймёшь
3rd Sing,уймёт
1st Pl,уймём
2nd Pl,уймёте
3rd Pl,уйму́т
Past M,уня́л
Past F,уняла́
Past N,уня́ло
Past PL,уня́ли
Imp S,уйми́
Imp PL,уйми́те
