Infinitive,унасле́довать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,унасле́довавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,унасле́дованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,унасле́довав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,унасле́довавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,унасле́дую
2nd Sing,унасле́дуешь
3rd Sing,унасле́дует
1st Pl,унасле́дуем
2nd Pl,унасле́дуете
3rd Pl,унасле́дуют
Past M,унасле́довал
Past F,унасле́довала
Past N,унасле́довало
Past PL,унасле́довали
Imp S,унасле́дуй
Imp PL,унасле́дуйте
