Infinitive,унести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,унёсшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,унеся́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,унёсшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,унесу́сь
2nd Sing,унесёшься
3rd Sing,унесётся
1st Pl,унесёмся
2nd Pl,унесётесь
3rd Pl,унесу́тся
Past M,унёсся
Past F,унесла́сь
Past N,унесло́сь
Past PL,унесли́сь
Imp S,унеси́сь
Imp PL,унеси́тесь
