Infinitive,уни́зить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уни́зивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уни́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уни́зив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уни́зивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уни́жу
2nd Sing,уни́зишь
3rd Sing,уни́зит
1st Pl,уни́зим
2nd Pl,уни́зите
3rd Pl,уни́зят
Past M,уни́зил
Past F,уни́зила
Past N,уни́зило
Past PL,уни́зили
Imp S,уни́зь
Imp PL,уни́зьте
