Infinitive,уныва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,уныва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уныва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уныва́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уныва́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,уныва́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,уныва́ю
2nd Sing,уныва́ешь
3rd Sing,уныва́ет
1st Pl,уныва́ем
2nd Pl,уныва́ете
3rd Pl,уныва́ют
Past M,уныва́л
Past F,уныва́ла
Past N,уныва́ло
Past PL,уныва́ли
Imp S,уныва́й
Imp PL,уныва́йте
