Infinitive,уня́ться
Zaliznyak Class,14b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уня́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уня́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уйму́сь
2nd Sing,уймёшься
3rd Sing,уймётся
1st Pl,уймёмся
2nd Pl,уймётесь
3rd Pl,уйму́тся
Past M,уня́лся
Past F,уняла́сь
Past N,уняло́сь
Past PL,уняли́сь
Imp S,уйми́сь
Imp PL,уйми́тесь
