Infinitive,уничтожа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уничтожа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уничтожа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уничтожа́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уничтожа́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,уничтожа́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,уничтожа́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,уничтожа́ю
2nd Sing,уничтожа́ешь
3rd Sing,уничтожа́ет
1st Pl,уничтожа́ем
2nd Pl,уничтожа́ете
3rd Pl,уничтожа́ют
Past M,уничтожа́л
Past F,уничтожа́ла
Past N,уничтожа́ло
Past PL,уничтожа́ли
Imp S,уничтожа́й
Imp PL,уничтожа́йте
