Infinitive,унима́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,унима́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,унима́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,унима́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,унима́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,унима́юсь
2nd Sing,унима́ешься
3rd Sing,унима́ется
1st Pl,унима́емся
2nd Pl,унима́етесь
3rd Pl,унима́ются
Past M,унима́лся
Past F,унима́лась
Past N,унима́лось
Past PL,унима́лись
Imp S,унима́йся
Imp PL,унима́йтесь
