Infinitive,уноси́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,унося́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уноси́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,унося́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уноси́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уношу́сь
2nd Sing,уно́сишься
3rd Sing,уно́сится
1st Pl,уно́симся
2nd Pl,уно́ситесь
3rd Pl,уно́сятся
Past M,уноси́лся
Past F,уноси́лась
Past N,уноси́лось
Past PL,уноси́лись
Imp S,уноси́сь
Imp PL,уноси́тесь
