Infinitive,уничтожа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уничтожа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уничтожа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уничтожа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уничтожа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уничтожа́юсь
2nd Sing,уничтожа́ешься
3rd Sing,уничтожа́ется
1st Pl,уничтожа́емся
2nd Pl,уничтожа́етесь
3rd Pl,уничтожа́ются
Past M,уничтожа́лся
Past F,уничтожа́лась
Past N,уничтожа́лось
Past PL,уничтожа́лись
Imp S,уничтожа́йся
Imp PL,уничтожа́йтесь
