Infinitive,уни́зиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уни́зившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уни́зившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уни́жусь
2nd Sing,уни́зишься
3rd Sing,уни́зится
1st Pl,уни́зимся
2nd Pl,уни́зитесь
3rd Pl,уни́зятся
Past M,уни́зился
Past F,уни́зилась
Past N,уни́зилось
Past PL,уни́зились
Imp S,уни́зься
Imp PL,уни́зьтесь
