Infinitive,уничто́жить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уничто́живший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уничто́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уничто́жив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уничто́живши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уничто́жу
2nd Sing,уничто́жишь
3rd Sing,уничто́жит
1st Pl,уничто́жим
2nd Pl,уничто́жите
3rd Pl,уничто́жат
Past M,уничто́жил
Past F,уничто́жила
Past N,уничто́жило
Past PL,уничто́жили
Imp S,уничто́жь
Imp PL,уничто́жьте
