Infinitive,унижа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,унижа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,унижа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,унижа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,унижа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,унижа́юсь
2nd Sing,унижа́ешься
3rd Sing,унижа́ется
1st Pl,унижа́емся
2nd Pl,унижа́етесь
3rd Pl,унижа́ются
Past M,унижа́лся
Past F,унижа́лась
Past N,унижа́лось
Past PL,унижа́лись
Imp S,унижа́йся
Imp PL,унижа́йтесь
