Infinitive,бу́хнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,бу́хнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,бу́хнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бу́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,бу́хнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,бу́хну
2nd Sing,бу́хнешь
3rd Sing,бу́хнет
1st Pl,бу́хнем
2nd Pl,бу́хнете
3rd Pl,бу́хнут
Past M,бу́хнул
Past F,бу́хнула
Past N,бу́хнуло
Past PL,бу́хнули
Imp S,бу́хни
Imp PL,бу́хните
