Infinitive,бу́лькать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бу́лькающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бу́лькавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бу́лькая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бу́лькав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бу́лькавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,бу́лькаю
2nd Sing,бу́лькаешь
3rd Sing,бу́лькает
1st Pl,бу́лькаем
2nd Pl,бу́лькаете
3rd Pl,бу́лькают
Past M,бу́лькал
Past F,бу́лькала
Past N,бу́лькало
Past PL,бу́лькали
Imp S,бу́лькай
Imp PL,бу́лькайте
