Infinitive,бурча́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бурча́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бурча́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бурча́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бурча́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бурча́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,бурчу́
2nd Sing,бурчи́шь
3rd Sing,бурчи́т
1st Pl,бурчи́м
2nd Pl,бурчи́те
3rd Pl,бурча́т
Past M,бурча́л
Past F,бурча́ла
Past N,бурча́ло
Past PL,бурча́ли
Imp S,бурчи́
Imp PL,бурчи́те
