Infinitive,бу́хать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бу́хающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бу́хавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бу́хая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бу́хав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бу́хавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,бу́хаю
2nd Sing,бу́хаешь
3rd Sing,бу́хает
1st Pl,бу́хаем
2nd Pl,бу́хаете
3rd Pl,бу́хают
Past M,бу́хал
Past F,бу́хала
Past N,бу́хало
Past PL,бу́хали
Imp S,бу́хай
Imp PL,бу́хайте
