Infinitive,бушева́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бушу́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бушева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бушу́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бушева́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бушева́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,бушу́ю
2nd Sing,бушу́ешь
3rd Sing,бушу́ет
1st Pl,бушу́ем
2nd Pl,бушу́ете
3rd Pl,бушу́ют
Past M,бушева́л
Past F,бушева́ла
Past N,бушева́ло
Past PL,бушева́ли
Imp S,бушу́й
Imp PL,бушу́йте
