Infinitive,бу́ркнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бу́ркнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,бу́ркнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,бу́ркнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,бу́ркну
2nd Sing,бу́ркнешь
3rd Sing,бу́ркнет
1st Pl,бу́ркнем
2nd Pl,бу́ркнете
3rd Pl,бу́ркнут
Past M,бу́ркнул
Past F,бу́ркнула
Past N,бу́ркнуло
Past PL,бу́ркнули
Imp S,бу́ркни
Imp PL,бу́ркните
