Infinitive,бурли́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бурля́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бурли́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бурля́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бурли́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бурли́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,бурлю́
2nd Sing,бурли́шь
3rd Sing,бурли́т
1st Pl,бурли́м
2nd Pl,бурли́те
3rd Pl,бурля́т
Past M,бурли́л
Past F,бурли́ла
Past N,бурли́ло
Past PL,бурли́ли
Imp S,бурли́
Imp PL,бурли́те
