Infinitive,буксова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,буксу́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,буксова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,буксу́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,буксова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,буксова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,буксу́ю
2nd Sing,буксу́ешь
3rd Sing,буксу́ет
1st Pl,буксу́ем
2nd Pl,буксу́ете
3rd Pl,буксу́ют
Past M,буксова́л
Past F,буксова́ла
Past N,буксова́ло
Past PL,буксова́ли
Imp S,буксу́й
Imp PL,буксу́йте
